unique_instrument_id,windcode,windcode_simp
CFFEX|F|IC|2501,IC2501.CFE,IC501.CFE
CFFEX|F|IC|2502,IC2502.CFE,IC502.CFE
CFFEX|F|IC|2503,IC2503.CFE,IC503.CFE
CFFEX|F|IC|2504,IC2504.CFE,IC504.CFE
CFFEX|F|IC|2505,IC2505.CFE,IC505.CFE
CFFEX|F|IC|2506,IC2506.CFE,IC506.CFE
CFFEX|F|IC|2507,IC2507.CFE,IC507.CFE
CFFEX|F|IC|2508,IC2508.CFE,IC508.CFE
CFFEX|F|IC|2509,IC2509.CFE,IC509.CFE
CFFEX|F|IC|2510,IC2510.CFE,IC510.CFE
CFFEX|F|IC|2511,IC2511.CFE,IC511.CFE
CFFEX|F|IC|2512,IC2512.CFE,IC512.CFE
CFFEX|F|IC|2601,IC2601.CFE,IC601.CFE
CFFEX|F|IC|2603,IC2603.CFE,IC603.CFE
CFFEX|F|IC|2606,IC2606.CFE,IC606.CFE
CFFEX|F|IF|2501,IF2501.CFE,IF501.CFE
CFFEX|F|IF|2502,IF2502.CFE,IF502.CFE
CFFEX|F|IF|2503,IF2503.CFE,IF503.CFE
CFFEX|F|IF|2504,IF2504.CFE,IF504.CFE
CFFEX|F|IF|2505,IF2505.CFE,IF505.CFE
CFFEX|F|IF|2506,IF2506.CFE,IF506.CFE
CFFEX|F|IF|2507,IF2507.CFE,IF507.CFE
CFFEX|F|IF|2508,IF2508.CFE,IF508.CFE
CFFEX|F|IF|2509,IF2509.CFE,IF509.CFE
CFFEX|F|IF|2510,IF2510.CFE,IF510.CFE
CFFEX|F|IF|2511,IF2511.CFE,IF511.CFE
CFFEX|F|IF|2512,IF2512.CFE,IF512.CFE
CFFEX|F|IF|2601,IF2601.CFE,IF601.CFE
CFFEX|F|IF|2603,IF2603.CFE,IF603.CFE
CFFEX|F|IF|2606,IF2606.CFE,IF606.CFE
CFFEX|F|IH|2501,IH2501.CFE,IH501.CFE
CFFEX|F|IH|2502,IH2502.CFE,IH502.CFE
CFFEX|F|IH|2503,IH2503.CFE,IH503.CFE
CFFEX|F|IH|2504,IH2504.CFE,IH504.CFE
CFFEX|F|IH|2505,IH2505.CFE,IH505.CFE
CFFEX|F|IH|2506,IH2506.CFE,IH506.CFE
CFFEX|F|IH|2507,IH2507.CFE,IH507.CFE
CFFEX|F|IH|2508,IH2508.CFE,IH508.CFE
CFFEX|F|IH|2509,IH2509.CFE,IH509.CFE
CFFEX|F|IH|2510,IH2510.CFE,IH510.CFE
CFFEX|F|IH|2511,IH2511.CFE,IH511.CFE
CFFEX|F|IH|2512,IH2512.CFE,IH512.CFE
CFFEX|F|IH|2601,IH2601.CFE,IH601.CFE
CFFEX|F|IH|2603,IH2603.CFE,IH603.CFE
CFFEX|F|IH|2606,IH2606.CFE,IH606.CFE
CFFEX|F|IM|2501,IM2501.CFE,IM501.CFE
CFFEX|F|IM|2502,IM2502.CFE,IM502.CFE
CFFEX|F|IM|2503,IM2503.CFE,IM503.CFE
CFFEX|F|IM|2504,IM2504.CFE,IM504.CFE
CFFEX|F|IM|2505,IM2505.CFE,IM505.CFE
CFFEX|F|IM|2506,IM2506.CFE,IM506.CFE
CFFEX|F|IM|2507,IM2507.CFE,IM507.CFE
CFFEX|F|IM|2508,IM2508.CFE,IM508.CFE
CFFEX|F|IM|2509,IM2509.CFE,IM509.CFE
CFFEX|F|IM|2510,IM2510.CFE,IM510.CFE
CFFEX|F|IM|2511,IM2511.CFE,IM511.CFE
CFFEX|F|IM|2512,IM2512.CFE,IM512.CFE
CFFEX|F|IM|2601,IM2601.CFE,IM601.CFE
CFFEX|F|IM|2603,IM2603.CFE,IM603.CFE
CFFEX|F|IM|2606,IM2606.CFE,IM606.CFE
CFFEX|F|TF|2503,TF2503.CFE,TF503.CFE
CFFEX|F|TF|2506,TF2506.CFE,TF506.CFE
CFFEX|F|TF|2509,TF2509.CFE,TF509.CFE
CFFEX|F|TF|2512,TF2512.CFE,TF512.CFE
CFFEX|F|TF|2603,TF2603.CFE,TF603.CFE
CFFEX|F|TF|2606,TF2606.CFE,TF606.CFE
CFFEX|F|TL|2503,TL2503.CFE,TL503.CFE
CFFEX|F|TL|2506,TL2506.CFE,TL506.CFE
CFFEX|F|TL|2509,TL2509.CFE,TL509.CFE
CFFEX|F|TL|2512,TL2512.CFE,TL512.CFE
CFFEX|F|TL|2603,TL2603.CFE,TL603.CFE
CFFEX|F|TL|2606,TL2606.CFE,TL606.CFE
CFFEX|F|TS|2503,TS2503.CFE,TS503.CFE
CFFEX|F|TS|2506,TS2506.CFE,TS506.CFE
CFFEX|F|TS|2509,TS2509.CFE,TS509.CFE
CFFEX|F|TS|2512,TS2512.CFE,TS512.CFE
CFFEX|F|TS|2603,TS2603.CFE,TS603.CFE
CFFEX|F|TS|2606,TS2606.CFE,TS606.CFE
CFFEX|F|T|2503,T2503.CFE,T503.CFE
CFFEX|F|T|2506,T2506.CFE,T506.CFE
CFFEX|F|T|2509,T2509.CFE,T509.CFE
CFFEX|F|T|2512,T2512.CFE,T512.CFE
CFFEX|F|T|2603,T2603.CFE,T603.CFE
CFFEX|F|T|2606,T2606.CFE,T606.CFE
CZCE|F|AP|2501,AP2501.CZC,AP501.CZC
CZCE|F|AP|2503,AP2503.CZC,AP503.CZC
CZCE|F|AP|2504,AP2504.CZC,AP504.CZC
CZCE|F|AP|2505,AP2505.CZC,AP505.CZC
CZCE|F|AP|2510,AP2510.CZC,AP510.CZC
CZCE|F|AP|2511,AP2511.CZC,AP511.CZC
CZCE|F|AP|2512,AP2512.CZC,AP512.CZC
CZCE|F|AP|2601,AP2601.CZC,AP601.CZC
CZCE|F|AP|2603,AP2603.CZC,AP603.CZC
CZCE|F|AP|2604,AP2604.CZC,AP604.CZC
CZCE|F|AP|2605,AP2605.CZC,AP605.CZC
CZCE|F|AP|2610,AP2610.CZC,AP610.CZC
CZCE|F|AP|2611,AP2611.CZC,AP611.CZC
CZCE|F|CF|2501,CF2501.CZC,CF501.CZC
CZCE|F|CF|2503,CF2503.CZC,CF503.CZC
CZCE|F|CF|2505,CF2505.CZC,CF505.CZC
CZCE|F|CF|2507,CF2507.CZC,CF507.CZC
CZCE|F|CF|2509,CF2509.CZC,CF509.CZC
